modalidade,situacao,esfera,orgao,uf,municipio,objeto,valor,abertura,encerramento,numero_pncp,link
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Contratação de empresa(s) especializada(s), sob demanda, para serviços de buffet, incluindo coffee break e coquetel, com alimentos e bebidas, opções veganas e sem lactose, equipe de apoio, materiais, utensílios, equipamentos, transporte, entrega, montagem, reposição e desmontagem, destinados a eventos institucionais do CRESS-RJ. ",87584.55,2026-09-15T18:00:00,2026-09-29T08:00:00,33673237000192-1-000043/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=38927705000442026
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,aquisição de material OPME para clínica de HEMODINAMICA (STENT) em regime de consignação,736000.0,2026-09-17T08:00:00,2026-09-29T08:00:00,00394452000103-1-020159/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16032205000612026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Serviço de instalação de sistema de som do auditório do 1º BI Mec (Es),10000.0,2026-09-16T08:00:00,2026-09-29T08:00:00,00394452000103-1-020014/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16025406000442026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Contratação de serviços comuns de Arqueologia necessários ao acompanhamento arqueológico da obra de implantação do elevador no pátio interno do Instituto Benjamin Constant – IBC, conforme condições e exigências estabelecidas neste instrumento.",34300.0,2026-09-21T08:00:00,2026-09-29T08:00:00,00394445000101-1-000235/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15200406001592026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de Fonte de Calibração (Processo: 25410.004175/2026-32),14859.6,2026-09-24T08:00:00,2026-09-29T08:00:00,00394544000185-1-002019/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25005206009022026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,pó de café ,15215.68,2026-09-23T08:00:00,2026-09-29T08:00:00,01263896000164-1-000659/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=24012706000582026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Instalação e fornecimento de porta corta-fogo,4079.8,2026-09-22T14:00:00,2026-09-29T08:00:00,00394502000144-1-012173/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=76420006000742026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de Material para o alojamento, copa e Divisão Técnica do DepSIMRJ",23612.77,2026-09-23T08:00:00,2026-09-29T08:00:00,00394502000144-1-012214/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=77123006000392026
Dispensa,Divulgada no PNCP,F,,RJ,Macaé,"Aquisição de quadro branco, para atender as necessidades do Centro Multidisciplinar UFRJ-Macaé, nos termos do Aviso de Contratação Direta e seus anexos.",18879.93,2026-09-24T08:00:00,2026-09-29T08:00:00,33663683000116-1-000440/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15273706000312026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Quadro com moldura de madeira tipo “caixa”; panóplia com símbolo do Esquadrão; e broche para boné.,2004.64,2026-09-23T08:00:00,2026-09-29T08:00:00,00394502000144-1-012219/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79114006000642026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Prestação de serviços técnicos continuados de manutenção preditiva, preventiva e corretiva, com fornecimento de peças, em equipamentos de fornecimento de energia de emergência, instalados na Procuradoria Regional da República da 2ª Região (PRR/2ª Região), localizados na Avenida Almirante Barroso, nº 54, Centro, Rio de Janeiro-RJ, conforme o Aviso de Contratação Direta, e seus Anexos..
",17050.0,2026-09-23T12:00:00,2026-09-29T08:00:00,26989715000102-1-001498/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=20004506000072026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"O objeto da presente dispensa licitação é aquisição de insumos reagente e controles compatíveis com equipamento já contratado da marca LAB-TEST, modelo: Aud-H 5AL, para a realização de exames de apoio ao diagnóstico para o Serviço de Análises Clínicas desta OMS, nos termos do termo de referência.",24304.8,2026-09-24T08:00:00,2026-09-29T08:00:00,00394452000103-1-020693/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16024506000582026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,AQUISIÇÃO DE MEDICAMENTOS COM A FINALIDADE DE DOAÇÃO.,4900.38,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012260/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79110006001312026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói," Reforma do piso da Praça D'Armas do Navio Oceanográfico ""Antares"". ",40657.58,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012265/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75120006001342026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Compra de materiais elétricos para a realização de manutenções preventivas e corretivas nas instalações da Diretoria de Portos e Costas (DPC),37644.44,2026-09-23T11:30:00,2026-09-29T08:00:00,00394502000144-1-012271/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75200006001212026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói, Aquisição de Tintas,8792.27,2026-09-23T12:00:00,2026-09-29T08:00:00,00394502000144-1-012272/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002862026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de Baterias e Antenas para o Rádio transceptor portátil TC 320, capacidade de 1700mah e tensão nominal de 3,7v",7152.02,2026-09-24T08:00:00,2026-09-29T08:00:00,33663683000116-1-000447/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15311506000772026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de Passador de Slide para a Diretoria-Geral de Navegação (DGN).,959.47,2026-09-23T11:30:00,2026-09-29T08:00:00,00394502000144-1-012275/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75200006001232026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de Máquina de café para os refeitórios desta Diretoria,5366.88,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012276/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75200006001222026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de AUTOCLAVE FLEX 60L STERMAX.,13857.25,2026-09-24T08:00:00,2026-09-29T08:00:00,33781055000135-1-001652/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25444606002962026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de livros técnicos especializados destinados à atualização e ampliação do acervo bibliográfico da Escola de Saúde da Marinha (ESM),12208.86,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012292/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=76572006003012026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"Televisor Tamanho Tela: 50 POL, Voltagem: Bivolt V, Características Adicionais: Smart Tv, Full Hd, Entradas Hdmi/Usb,
Conversor Di , Tipo Tela: Led , Acessórios: Controle Remoto.",10528.88,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012299/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79180006000762026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de colchonetes para atender as demandas da Unidade do CFCH.,4286.8,2026-09-23T15:00:00,2026-09-29T08:00:00,33663683000116-1-000449/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15312806000992026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,Aquisição de Telha e Parafuso.,1884.23,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012301/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79117006002172026
Dispensa,Divulgada no PNCP,F,,RJ,Duque de Caxias,"Aquisição de 01 (uma) cadeira de rodas. Especificações técnicas: capacidade de suporte de até 130 kg, Cadeira de rodas manual, Peso máximo suportado - 130kg, Estrutura - em aço tubular, Acabamento - em pintura epóxi, Sistema - dobrável em Duplo X, Encosto - rebatível, Braços -  escamoteáveis e acolchoados, Apoio de pés -  Removível, rebatível e regulável em altura, Estofamento - Material impermeável e estofado, Recursos - Quick Release, Tip Assist, freios bilaterais.",1100.0,2026-09-24T08:00:00,2026-09-29T08:00:00,33663683000116-1-000450/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15576606000132026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de Licença do Software Canva Pro +,2350.0,2026-09-24T08:00:00,2026-09-29T08:00:00,03277610000125-1-000498/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=11040206001322026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Contratação de serviços de substituição de 16 cunhos do Cais da Bandeira do Comando do 1º Distrito Naval,23000.0,2026-09-23T16:00:00,2026-09-29T08:00:00,00394502000144-1-012322/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=78100006000892026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de material de consumo para seção de saúde do ECT.,863.5,2026-09-24T08:00:00,2026-09-29T08:00:00,00394452000103-1-020765/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16032106000792026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de 4 (quatro) dispositivos eletrônicos portáteis de alto desempenho (tablets) com conectividade 5G, acompanhados de caneta digital ativa, capa protetora, carregador e película de vidro temperado, com garantia e suporte técnico em território nacional.",17458.48,2026-09-24T08:00:00,2026-09-29T08:00:00,37115458000104-1-000034/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92515906000322026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro," objeto da presente contratação é a aquisição de FRASCO,DEWAR;CILINDRICO;S 21 C;10223,KGW ISOTHERM,  TAMPA,FRASCO;DEWAR;S21C;KGWA17223,KGW ISOTHERM e ELASTICO,SILICONE;52,5X60X2MM;RE11015260,STERILEX;PT10UN.",33795.18,2026-09-24T08:00:00,2026-09-29T08:00:00,33781055000135-1-001656/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25444506004302026
Dispensa,Divulgada no PNCP,F,,RJ,Campos dos Goytacazes,Aquisição de material permanente para revitalização dos alojamentos da 2ª Companhia de Infantaria,10021.63,2026-09-24T08:00:00,2026-09-29T08:00:00,00394452000103-1-020788/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16023606000082026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de materiais descartáveis e de limpeza para o Setor de Aprovisionamento do IBEx.,22099.05,2026-09-24T08:00:00,2026-09-29T08:00:00,00394452000103-1-020795/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16032406000092026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,AQUISIÇÃO DE MATERIAL DE CONSUMO DE COMBATE A INCÊNDIO E DE SINALIZAÇÃO.,23030.45,2026-09-24T08:00:00,2026-09-29T08:00:00,33663683000116-1-000454/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15312006000922026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de Notebook  ,13640.0,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012340/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79512006000282026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"A aquisição de materiais para Obra (Kit de porta de madeira lisa, Porta de alumínio, Vitrô em alumínio, Janelas em alumínio, Portinhola/porta técnica em alumínio, Gesso em pó, Disco diamantado de corte, Argamassa colante industrializada, Cal hidratada CH-I, Conjuntos de fixação, Fita telada autoadesiva, Disco abrasivo, Balde metálico, Disco/rebolo diamantado, Placa de mármore, Ralo linear para box/área molhada, Cabo elétrico flexível, Protetor Contra Surto de Tensão, Verniz).",21020.02,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012342/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79512006000272026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,Equipamentos para preparação de alimentos,3367.69,2026-09-24T08:00:00,2026-09-29T08:00:00,00394502000144-1-012355/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002872026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,Materiais de pintura,40816.5,2026-09-24T09:00:00,2026-09-29T08:00:00,00394502000144-1-012359/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002982026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"Serviço de Manutenção de Bombas e Motobombas marca Dancor centrifuga 1,5 CV trifásica 220/380v, com troca de rolamentos dianteiro e traseiro, selo mecânico de vedação, junta da tampa , tratamento e rejuvenescimento do enrolamento, substituição do rotor, com fornecimento de 2 Válvulas de Retenção Vertical de 1”, 2 curvas de 1”, 2 uniões de 1”, 2 Buchas de Redução 1"" X3/4, 2 Luvas de 1”( conexões roscáveis) e 8 amortecedores de vibrações.",1158.0,2026-09-24T10:10:00,2026-09-29T08:00:00,00394502000144-1-012360/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75111006000032026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"A aquisição dos materiais institucionais, destinam-se à realização da VII Semana de Ciência, Tecnologia e Inovação do Centro de Instrução Almirante Graça Aranha, para palestrantes, alunos e convidados",21282.06,2026-09-24T10:00:00,2026-09-29T08:00:00,00394502000144-1-012362/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75210006001642026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de bebedouro de água industrial,3682.26,2026-09-24T09:38:00,2026-09-29T08:00:00,00394502000144-1-012363/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=74001406001962026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,Material comum controle de avarias e aguada - Divisão Alfa,6661.57,2026-09-24T11:00:00,2026-09-29T08:00:00,00394502000144-1-012364/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002822026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,Equipamento de Rancho,3528.28,2026-09-24T11:00:00,2026-09-29T08:00:00,00394502000144-1-012366/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002912026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,Aquisição de Bonés para a COMSOC.,6876.5,2026-09-24T10:00:00,2026-09-29T08:00:00,00394502000144-1-012367/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79118006001432026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,Serviço de Descupinização nas instalações da Praça D''Armas 1,3206.8,2026-09-24T11:00:00,2026-09-29T08:00:00,00394502000144-1-012370/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79118006001402026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"Serviço de manutenção de extintores com fornecimento de material: 17 (dezessete) extintores de combate a incêndio: com reabastecimento de: 05 (cinco) tipo: Água Pressurizada, capacidade carga: 10 L; 09 (nove) tipo: Gás Carbônico, capacidade carga: 6 KG; e 03 (três) tipo: Pó Químico, capacidade carga: 8 KG. TESTE HIDROSTÁTICO: 02 (dois) extintores tipo Gás Carbônico, capacidade carga: 6 KG; e 01 (um) extintor tipo Pó Químico, capacidade carga: 8 KG. Com substituição temporária (comodato) enquanto o serviço é realizado neste Centro de Instrução e Adestramento.",2610.0,2026-09-24T11:40:00,2026-09-29T08:00:00,00394502000144-1-012373/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75111006000042026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,Aquisição de Plastificadora e Poliseladora Profissional ,1540.0,2026-09-24T11:00:00,2026-09-29T08:00:00,00394502000144-1-012377/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79118006001382026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de material a ser utilizado nas salas de aula das escolas SV e RV do CIAAN.,753.93,2026-09-24T11:30:00,2026-09-29T08:00:00,00394502000144-1-012382/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79119006001602026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,Materiais de TI e Segurança,4339.93,2026-09-24T13:00:00,2026-09-29T08:00:00,00394502000144-1-012386/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79101006002892026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"O objeto da presente dispensa é a escolha da proposta mais vantajosa para a aquisição, por dispensa de licitação, cabo para instalação de equipamentos de Comunicações nos meios da Marinha conforme condições, quantidades e exigências estabelecidas neste Aviso de Contratação Direta e seus anexos",24360.0,2026-09-24T14:00:00,2026-09-29T08:00:00,00394502000144-1-012394/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=74402106001462026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,SERVIÇO DE MARCENARIA ,11400.0,2026-09-24T14:00:00,2026-09-29T08:00:00,00394502000144-1-012396/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=71300006001082026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"397972 - Apresentador Multimídia Distância Mínima: 15 M, Freqüência: 2,4 GHZ, Compatibilidade: Windows 2000/Xp/Vista/7, Mac Os, Linux , Fonte Alimentação: 1 Pilha Aaa. Conexão via receptor USB plug and play. Funções de passador de slides, mouse e ponteiro laser.",660.0,2026-09-24T16:24:00,2026-09-29T08:00:00,00394502000144-1-012410/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=75111006000832026
Dispensa,Divulgada no PNCP,F,,RJ,Macaé,Aquisição de materiais de limpeza para o Almoxarifado da 9ª Bateria de Artilharia Antiaérea (Escola),13295.4,2026-09-24T16:00:00,2026-09-29T08:00:00,00394452000103-1-020915/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16024006000702026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de materiais para manutenção de bens imóveis, visando à melhoria das instalações físicas do GUEs / 9ª Bda Inf Mtz",62520.27,2026-09-24T17:10:00,2026-09-29T08:00:00,00394452000103-1-020916/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16029506000542026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de materiais para manutenção de bens imóveis, visando à melhoria das instalações físicas do GUEs / 9ª Bda Inf Mtz",26822.4,2026-09-24T17:00:00,2026-09-29T08:00:00,00394452000103-1-020918/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16029506000282026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,SEGURO DE VIATURA,2451.23,2026-09-24T18:00:00,2026-09-29T08:00:00,00394502000144-1-012423/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=71300006001052026
Dispensa,Divulgada no PNCP,F,,RJ,São Pedro da Aldeia,SSD E PENDRIVE - CPD,1097.56,2026-09-24T10:31:00,2026-09-29T08:16:00,00394502000144-1-012369/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79110006001522026
Dispensa,Divulgada no PNCP,E,,RJ,Rio de Janeiro,"Aquisição, em 05 (cinco) lotes, de aparelhos extintores portáteis do tipo Pó Químico ABC, aparelhos extintores portáteis do tipo AP (Água Pressurizada), aparelhos extintores portáteis do tipo CO₂, extintores sobre rodas do tipo Pó Químico ABC e suportes de base de solo para aparelhos de extintores",48804.56,2026-09-18T14:15:00,2026-09-29T08:30:00,28305936000140-1-000338/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92515306003112026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Serviço de manutenção em equipamentos de segurança e combate a incêndio.,21843.9,2026-09-24T11:20:00,2026-09-29T08:30:00,33663683000116-1-000456/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15312006000262026
Pregão - Eletrônico,Suspensa,F,,RJ,Rio de Janeiro,"Contratação de empresa especializada para realização de serviço de manutenção corretiva, por demanda, em equipamentos médicohospitalares pertencentes ao Instituto Nacional de Câncer.",1584060.48,2026-09-08T09:00:00,2026-09-29T08:59:00,00394544000185-1-001908/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25005205007142026
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"SERVIÇO CONTINUADO - Locação de processador PCR em tempo real automatizado, com assessoria técnica e manutenções preventivas e corretivas, fornecimento de reagentes e insumos consumiveis.",823409.88,2026-09-09T09:00:00,2026-09-29T08:59:00,00394544000185-1-001923/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25005205007892026
Pregão - Eletrônico,Divulgada no PNCP,E,,RJ,Rio de Janeiro,"Eventual aquisição de dietas enterais e suplementos alimentares, para suprir as necessidades nutricionais dos pacientes do Hospital Central Aristarcho Pessoa (HCAP).",369917.28,2026-09-15T09:00:00,2026-09-29T08:59:00,42498600000171-1-003894/2026,https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=37390
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"O objeto da presente licitação é a contratação de empresa especializada em serviços, por demanda, de manutenção/conservação preventiva e corretiva de calhas/telhados, incluindo reparos, adaptações e reformas, com o fornecimento de mão de obra, insumos, ferramentas e outros matérias necessários a execução do serviço, nas edificações existentes nos imóveis situados na Rua Paula Ramos, 52 e 165 - Rio Comprido - Rio de Janeiro/RJ - 20.261-210, e na Rua São Clemente, 175 - Botafogo - Rio de Janeiro/RJ - 22.260-001, conforme condições e exigências estabelecidas neste Edital e seus Anexos.",85900.0,2026-09-15T09:00:00,2026-09-29T08:59:00,34143842000114-1-000024/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16420405000252026
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,AQUISIÇÃO DE MEDICAMENTOS GERAIS,719408.23,2026-09-18T09:00:00,2026-09-29T08:59:00,00394544000185-1-002007/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25005205008742026
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,AQUISIÇÃO DE LUVAS (PROCESSO: 25410.002498/2025-19),2248067.36,2026-09-23T09:00:00,2026-09-29T08:59:00,00394544000185-1-002044/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25005205008892026
Dispensa,Divulgada no PNCP,E,,RJ,Rio de Janeiro,Contratação de empresa especializada para a prestação de serviços técnicos destinados à obtenção e entrega dos registros de inscrição no Cadastro Nacional da Pessoa Jurídica – CNPJ de 23 (vinte e três) entidades religiosas de matriz africana (casas-terreiros),48000.0,2026-09-23T09:00:00,2026-09-29T08:59:00,42498600000171-1-004006/2026,https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=37459
Dispensa,Divulgada no PNCP,E,,RJ,Rio de Janeiro,"Aquisição de 01 (uma) Placa Principal Linha Smart, compatível com o equipamento Milli-Q Direct 3 UV, série F2CA80966C, incluindo configuração, substituição e instalação, com todos os procedimentos necessários ao restabelecimento do funcionamento do equipamento, para o Departamento de Ciências Radiológicas da Universidade do Estado do Rio de Janeiro – UERJ, em conformidade com a legislação vigente.",8247.25,2026-09-23T09:30:00,2026-09-29T08:59:00,42498600000171-1-004009/2026,https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=37462
Dispensa,Divulgada no PNCP,E,,RJ,Rio de Janeiro,"Aquisição de suprimentos de informática (HD, teclado e mouse), com garantia de funcionamento pelo período de 36 (trinta e seis) meses, contados do recebimento definitivo, para atendimento das demandas do Hospital Universitário Pedro Ernesto.",354654.31,2026-09-23T14:00:00,2026-09-29T08:59:00,42498600000171-1-004020/2026,https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=37344
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Aquisição de  Equipamentos Médico Hospitalares referente às áreas de Equipamentos de Odontologia pela  Diretoria de Saúde da Aeronáutica (DIRSA),",2801966.44,2026-09-16T08:00:00,2026-09-29T09:00:00,00394429000100-1-000764/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=12019505900302026
